ю╖д║,цЬа╓юо╫ц,цЬа╓аж╠Б,фР╠у╟╙,цж╪р╟╙,цж╢К╟╙
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 00:00,H,99408,99400,99430
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 01:00,H,99387,99380,99390
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 02:00,H,99383,99380,99390
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 03:00,H,99387,99370,99400
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 04:00,H,99398,99390,99410
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 05:00,H,99448,99420,99490
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 06:00,H,99520,99500,99540
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 07:00,H,99565,99550,99570
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 08:00,H,99588,99580,99600
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 09:00,H,99613,99600,99620
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 10:00,H,99613,99600,99630
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 11:00,H,99592,99580,99600
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 12:00,H,99562,99540,99580
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 13:00,H,99532,99520,99540
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 14:00,H,99513,99510,99520
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 15:00,H,99503,99490,99510
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 16:00,H,99527,99510,99540
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 17:00,H,99547,99530,99570
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 18:00,H,99583,99560,99600
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 19:00,H,99643,99610,99670
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 20:00,H,99702,99680,99720
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 21:00,H,99755,99730,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 22:00,H,99780,99770,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-25 23:00,H,99790,99780,99810
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 00:00,H,99808,99800,99810
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 01:00,H,99817,99800,99830
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 02:00,H,99830,99820,99840
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 03:00,H,99840,99830,99860
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 04:00,H,99878,99870,99890
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 05:00,H,99895,99890,99900
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 06:00,H,99915,99910,99920
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 07:00,H,99907,99900,99910
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 08:00,H,99918,99910,99930
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 09:00,H,99898,99880,99920
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 10:00,H,99862,99840,99880
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 11:00,H,99805,99770,99840
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 12:00,H,99785,99780,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 13:00,H,99728,99700,99770
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 14:00,H,99677,99670,99690
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 15:00,H,99672,99670,99680
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 16:00,H,99653,99640,99660
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 17:00,H,99660,99650,99670
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 18:00,H,99682,99670,99690
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 19:00,H,99710,99700,99720
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 20:00,H,99740,99720,99770
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 21:00,H,99783,99780,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 22:00,H,99772,99760,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-26 23:00,H,99767,99750,99780
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 00:00,H,99775,99770,99780
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 01:00,H,99755,99740,99770
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 02:00,H,99753,99740,99760
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 03:00,H,99767,99760,99770
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 04:00,H,99762,99760,99770
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 05:00,H,99773,99760,99780
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 06:00,H,99780,99770,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 07:00,H,99803,99790,99810
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 08:00,H,99810,99800,99820
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 09:00,H,99805,99800,99810
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 10:00,H,99777,99760,99790
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 11:00,H,99715,99680,99740
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 12:00,H,99660,99650,99680
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 13:00,H,99630,99620,99640
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 14:00,H,99600,99580,99620
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 15:00,H,99593,99570,99610
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 16:00,H,99597,99590,99600
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 17:00,H,99603,99600,99610
╟ОаЖ╬ою╬AWS(╠╓аж),2023-08-27 18:00,H,99637,99620,99660
